                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.3067,                 1.5783,                 1.2256,                0.54632,                0.44684,                0.48439,                0.18673,                 2.2333,                 1.5294,                 1.2076,             0.00082067,             0.00082067,             0.00082067
                     46,                 2.3088,                 1.6067,                  1.238,                0.60552,                0.45667,                0.49668,                0.19477,                 2.2361,                  1.518,                 1.2135,             0.00080653,             0.00080653,             0.00080653
                     47,                 2.2732,                 1.5798,                 1.2201,                0.56639,                0.45363,                0.47813,                0.18023,                 2.2723,                 1.5113,                 1.2194,             0.00079238,             0.00079238,             0.00079238
                     48,                 2.2702,                 1.5886,                 1.2325,                  0.558,                 0.4377,                0.47557,                0.18375,                 2.2361,                 1.5294,                 1.2057,             0.00077823,             0.00077823,             0.00077823
                     49,                 2.3093,                 1.5946,                 1.2371,                0.60801,                0.44544,                0.50002,                0.19244,                 2.2285,                 1.5118,                 1.2105,             0.00076409,             0.00076409,             0.00076409
                     50,                  2.265,                  1.568,                 1.2254,                0.56854,                0.43817,                0.48132,                0.18147,                 2.2801,                  1.539,                 1.2148,             0.00074994,             0.00074994,             0.00074994
                     51,                 2.2842,                  1.572,                 1.2231,                0.58915,                0.44408,                0.49377,                0.19213,                 2.2143,                 1.5304,                 1.2013,             0.00073579,             0.00073579,             0.00073579
                     52,                 2.2649,                 1.5646,                 1.2219,                0.60232,                  0.463,                0.49376,                0.19353,                 2.2416,                 1.5077,                 1.2144,             0.00072164,             0.00072164,             0.00072164
                     53,                 2.2539,                 1.5359,                 1.2096,                0.59619,                0.44714,                0.49455,                0.19513,                  2.207,                 1.5128,                 1.1955,              0.0007075,              0.0007075,              0.0007075
                     54,                 2.2513,                 1.5674,                 1.2209,                0.61496,                0.44271,                0.50126,                  0.195,                 2.2165,                 1.4873,                 1.2018,             0.00069335,             0.00069335,             0.00069335
                     55,                 2.2588,                 1.5544,                 1.2191,                0.60159,                 0.4791,                0.50111,                0.19493,                 2.2051,                 1.4979,                 1.1978,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.2597,                 1.5775,                 1.2271,                0.60671,                0.46515,                0.50692,                0.20013,                 2.1789,                 1.5106,                 1.1848,             0.00066506,             0.00066506,             0.00066506
                     57,                 2.2701,                 1.5538,                   1.22,                0.60121,                0.47585,                0.50792,                 0.1996,                 2.1962,                 1.5102,                 1.1935,             0.00065091,             0.00065091,             0.00065091
                     58,                 2.2518,                 1.5451,                 1.2086,                0.62397,                 0.4574,                0.51214,                0.20217,                 2.2052,                 1.4999,                 1.1913,             0.00063676,             0.00063676,             0.00063676
                     59,                 2.2847,                 1.5776,                 1.2154,                0.59328,                 0.4534,                0.48624,                0.18773,                 2.2565,                 1.5011,                  1.214,             0.00062262,             0.00062262,             0.00062262
                     60,                 2.2562,                 1.5545,                 1.2083,                0.60601,                0.46962,                0.51063,                0.20164,                 2.2009,                 1.4927,                 1.1946,             0.00060847,             0.00060847,             0.00060847
                     61,                 2.2655,                 1.5498,                 1.2146,                0.60451,                0.44905,                0.50464,                0.19672,                 2.1999,                 1.5045,                 1.1898,             0.00059432,             0.00059432,             0.00059432
                     62,                 2.2014,                 1.5314,                 1.2168,                0.60722,                 0.4601,                0.50963,                0.20037,                 2.2069,                 1.4844,                 1.1966,             0.00058017,             0.00058017,             0.00058017
                     63,                   2.23,                 1.5271,                 1.2078,                0.57866,                0.44324,                0.48486,                0.19173,                 2.2402,                 1.4923,                 1.2084,             0.00056603,             0.00056603,             0.00056603
                     64,                 2.2639,                 1.5609,                  1.202,                0.59264,                0.45055,                0.49899,                0.19804,                 2.1835,                 1.4969,                 1.1895,             0.00055188,             0.00055188,             0.00055188
                     65,                 2.2391,                  1.542,                 1.2166,                0.58719,                0.44685,                0.50853,                0.20374,                 2.1814,                 1.4758,                 1.1896,             0.00053773,             0.00053773,             0.00053773
                     66,                 2.2199,                 1.5277,                 1.2066,                0.62962,                0.44999,                0.50802,                0.19625,                  2.242,                 1.4815,                 1.2175,             0.00052359,             0.00052359,             0.00052359
                     67,                 2.2561,                 1.5387,                 1.2147,                0.62263,                0.45156,                 0.5025,                0.20041,                 2.1899,                 1.4916,                 1.1869,             0.00050944,             0.00050944,             0.00050944
                     68,                 2.2199,                 1.5143,                 1.2066,                0.61384,                  0.458,                0.50208,                0.19942,                 2.2075,                 1.4829,                 1.1958,             0.00049529,             0.00049529,             0.00049529
                     69,                 2.2153,                 1.5244,                 1.2116,                0.59137,                0.44402,                0.49625,                0.19623,                 2.2403,                 1.4818,                 1.2092,             0.00048114,             0.00048114,             0.00048114
                     70,                 2.2478,                 1.5378,                 1.2157,                0.63689,                  0.436,                0.50021,                0.19988,                 2.2071,                  1.477,                 1.1991,               0.000467,               0.000467,               0.000467
                     71,                 2.2422,                 1.5454,                 1.2156,                 0.6107,                0.45446,                0.50428,                0.20267,                  2.164,                 1.4996,                 1.1796,             0.00045285,             0.00045285,             0.00045285
                     72,                 2.2312,                 1.5334,                 1.2045,                0.62452,                0.47754,                0.51203,                0.20157,                 2.2062,                 1.4783,                 1.1993,              0.0004387,              0.0004387,              0.0004387
                     73,                 2.2198,                 1.5275,                 1.1983,                0.61078,                0.44416,                 0.5046,                0.20544,                 2.1889,                 1.4947,                 1.1889,             0.00042456,             0.00042456,             0.00042456
                     74,                 2.2203,                 1.5058,                  1.192,                0.62511,                0.46694,                0.51331,                0.20727,                 2.1747,                 1.4766,                 1.1869,             0.00041041,             0.00041041,             0.00041041
                     75,                 2.2016,                 1.5127,                 1.1927,                0.63856,                 0.4462,                0.51088,                0.20375,                  2.208,                 1.4691,                 1.1932,             0.00039626,             0.00039626,             0.00039626
                     76,                 2.1849,                 1.5061,                 1.1892,                0.62553,                0.47753,                0.51717,                0.20838,                 2.1804,                 1.4706,                 1.1887,             0.00038211,             0.00038211,             0.00038211
                     77,                 2.1982,                 1.5203,                 1.2055,                0.61028,                0.46849,                0.50354,                0.19911,                 2.1771,                 1.4848,                 1.1815,             0.00036797,             0.00036797,             0.00036797
                     78,                 2.1745,                 1.4916,                 1.1945,                0.60237,                0.48506,                0.51796,                0.20949,                 2.1817,                 1.4855,                 1.1867,             0.00035382,             0.00035382,             0.00035382
                     79,                 2.2022,                 1.5045,                 1.1961,                0.64262,                0.46197,                0.52358,                0.20821,                 2.1867,                 1.4666,                 1.1852,             0.00033967,             0.00033967,             0.00033967
                     80,                 2.1926,                  1.495,                 1.2112,                0.63708,                0.46357,                0.51862,                0.20608,                 2.1839,                 1.4651,                 1.1855,             0.00032553,             0.00032553,             0.00032553
                     81,                 2.1695,                 1.4923,                 1.1904,                0.63858,                 0.4767,                0.53185,                0.21043,                 2.1778,                 1.4523,                 1.1817,             0.00031138,             0.00031138,             0.00031138
                     82,                 2.1998,                 1.4937,                 1.1991,                 0.6251,                0.46753,                0.51796,                0.20794,                 2.1784,                 1.4769,                 1.1803,             0.00029723,             0.00029723,             0.00029723
                     83,                 2.1734,                 1.4918,                 1.1917,                0.61547,                0.47329,                0.51737,                0.20696,                 2.1919,                 1.4757,                 1.1898,             0.00028308,             0.00028308,             0.00028308
                     84,                 2.1705,                 1.4794,                    1.2,                0.65094,                0.46667,                0.51871,                0.20864,                 2.1873,                 1.4743,                  1.187,             0.00026894,             0.00026894,             0.00026894
